"circuitRef","name","location","country","countryFlag","countryCode","lat","lng","alt","url","races","totalDrivers","winningDrivers","podiumDrivers","mostWinsDriver","mostWinsDriverWins","totalConstructors","winningConstructors","podiumConstructors","mostWinsConstructor","mostWinsCondtructorWins"
"galvez","Autódromo Juan y Oscar Gálvez","Buenos Aires","Argentina","🇦🇷","ar","-34.69430160522461","-58.45930099487305","","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez","20","185","16","40","fangio","4","48","12","17","ferrari",""
"monza","Autodromo Nazionale di Monza","Monza","Italy","🇮🇹","it","45.6156005859375","9.281109809875488","","http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza","69","459","36","89","hamilton","5","135","22","38","ferrari",""
"avus","AVUS","Berlin","Germany","🇩🇪","de","52.48059844970703","13.251399993896484","","http://en.wikipedia.org/wiki/AVUS","1","15","1","3","brooks","1","5","1","1","ferrari",""
"bahrain","Bahrain International Circuit","Sakhir","Bahrain","🇧🇭","bh","26.032499313354492","50.51060104370117","","http://en.wikipedia.org/wiki/Bahrain_International_Circuit","15","79","7","14","vettel","4","28","5","11","ferrari",""
"BAK","Baku City Circuit","Baku","Azerbaijan","🇦🇿","az","40.372501373291016","49.85329818725586","","http://en.wikipedia.org/wiki/Baku_City_Circuit","4","29","3","8","rosberg","1","11","2","5","mercedes",""
"brands_hatch","Brands Hatch","Kent","UK","🇬🇧","gb","51.35689926147461","0.2630560100078583","","http://en.wikipedia.org/wiki/Brands_Hatch","14","145","11","25","lauda","3","60","9","14","williams",""
"buddh","Buddh International Circuit","Uttar Pradesh","India","🇮🇳","in","28.34869956970215","77.53309631347656","","http://en.wikipedia.org/wiki/Buddh_International_Circuit","3","35","1","6","vettel","3","15","1","5","red_bull",""
"charade","Charade Circuit","Clermont-Ferrand","France","🇫🇷","fr","45.74720001220703","3.0388898849487305","","http://en.wikipedia.org/wiki/Charade_Circuit","4","50","3","9","stewart","2","21","4","10","tyrrell",""
"bremgarten","Circuit Bremgarten","Bern","Switzerland","🇨🇭","ch","46.958900451660156","7.401939868927002","","http://en.wikipedia.org/wiki/Circuit_Bremgarten","5","54","4","11","fangio","2","12","3","5","ferrari",""
"catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain","🇪🇸","es","41.56999969482422","2.2611100673675537","","http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya","29","153","16","30","michael_schumacher","6","49","8","13","ferrari",""
"monaco","Circuit de Monaco","Monte-Carlo","Monaco","🇲🇨","mc","43.73469924926758","7.420559883117676","","http://en.wikipedia.org/wiki/Circuit_de_Monaco","66","396","34","81","senna","6","119","21","36","mclaren",""
"magny_cours","Circuit de Nevers Magny-Cours","Magny Cours","France","🇫🇷","fr","46.864200592041016","3.1636099815368652","","http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours","18","115","10","22","michael_schumacher","8","39","6","8","ferrari",""
"pedralbes","Circuit de Pedralbes","Barcelona","Spain","🇪🇸","es","41.39030075073242","2.1166698932647705","","http://en.wikipedia.org/wiki/Pedralbes_Circuit","2","34","2","5","hawthorn","1","9","2","4","ferrari",""
"spa","Circuit de Spa-Francorchamps","Spa","Belgium","🇧🇪","be","50.437198638916016","5.9713897705078125","","http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps","52","315","26","71","michael_schumacher","6","96","17","30","ferrari",""
"villeneuve","Circuit Gilles Villeneuve","Montreal","Canada","🇨🇦","ca","45.5","-73.52279663085938","","http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve","40","229","23","49","michael_schumacher","7","69","10","17","ferrari",""
"tremblant","Circuit Mont-Tremblant","Quebec","Canada","🇨🇦","ca","46.18769836425781","-74.60990142822266","","http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant","2","29","2","6","ickx","1","17","2","4","ferrari",""
"americas","Circuit of the Americas","Austin","USA","🇺🇸","us","30.13279914855957","-97.64109802246094","","http://en.wikipedia.org/wiki/Circuit_of_the_Americas","8","47","3","9","hamilton","5","15","4","5","mercedes",""
"zandvoort","Circuit Park Zandvoort","Zandvoort","Netherlands","🇳🇱","nl","52.38880157470703","4.540919780731201","","http://en.wikipedia.org/wiki/Circuit_Zandvoort","30","215","19","49","clark","4","76","16","22","ferrari",""
"ricard","Circuit Paul Ricard","Le Castellet","France","🇫🇷","fr","43.2505989074707","5.791669845581055","","http://en.wikipedia.org/wiki/Paul_Ricard_Circuit","16","161","11","27","prost","4","55","8","14","mclaren",""
"boavista","Circuito da Boavista","Oporto","Portugal","🇵🇹","pt","41.170501708984375","-8.673250198364258","","http://en.wikipedia.org/wiki/Circuito_da_Boavista","2","24","2","6","jack_brabham","1","8","2","4","cooper-climax",""
"jerez","Circuito de Jerez","Jerez de la Frontera","Spain","🇪🇸","es","36.70830154418945","-6.034170150756836","","http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez","7","87","5","11","prost","2","30","5","5","mclaren",""
"detroit","Detroit Street Circuit","Detroit","USA","🇺🇸","us","42.32979965209961","-83.04010009765625","","http://en.wikipedia.org/wiki/Detroit_street_circuit","7","67","5","13","senna","3","29","5","8","mclaren",""
"dijon","Dijon-Prenois","Dijon","France","🇫🇷","fr","47.36249923706055","4.899129867553711","","http://en.wikipedia.org/wiki/Dijon-Prenois","6","83","6","14","lauda","1","30","4","6","renault",""
"donington","Donington Park","Castle Donington","UK","🇬🇧","gb","52.83060073852539","-1.3752800226211548","","http://en.wikipedia.org/wiki/Donington_Park","1","26","1","3","senna","1","13","1","2","mclaren",""
"dallas","Fair Park","Dallas","USA","🇺🇸","us","32.777400970458984","-96.75869750976562","","http://en.wikipedia.org/wiki/Fair_Park","1","26","1","3","keke_rosberg","1","15","1","3","williams",""
"fuji","Fuji Speedway","Oyama","Japan","🇯🇵","jp","35.371700286865234","138.927001953125","","http://en.wikipedia.org/wiki/Fuji_Speedway","4","58","4","9","alonso","1","27","3","6","mclaren",""
